"","","GR19-MIT5","IS19-13","IS19-14"
"848","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Bracteacoccus minor",8,NA,NA
"849","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Bryopsis hypnoides",2,NA,NA
"850","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Bryum argenteum",8,NA,NA
"851","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Bryum argenteum var. argenteum",2,NA,NA
"852","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Bulboplastis apyrenoidosa",1,NA,NA
"853","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Camelina sativa",7,NA,NA
"854","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Camellia sinensis var. sinensis",10,NA,NA
"855","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Cannabis sativa (hemp)",2,NA,NA
"856","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Carteria cerasiformis",13,NA,NA
"857","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Carteria sp. SAG 8-5",82,NA,1
"858","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Cenchrus americanus",7,NA,NA
"859","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Centrolepis monogyna",19,NA,NA
"860","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Cercis gigantea",10,NA,NA
"861","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Chaetosphaeridium globosum",18,NA,NA
"862","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Chara vulgaris",11,NA,NA
"863","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Characiochloris acuminata",27,NA,NA
"864","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Chlamydomonas applanata",8,NA,1
"865","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Chlamydomonas eustigma",719,NA,2
"866","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Chlamydomonas leiostraca",1,NA,NA
"867","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Chlamydomonas moewusii",NA,NA,14
"868","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Chlamydomonas nivalis",316,4,2
"869","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Chlamydomonas sp. UWO241",166,NA,NA
"870","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Chloroidium saccharophilum",13,NA,NA
"871","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Chlorokybus atmophyticus",52,NA,NA
"872","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Chloromonas perforata",1,NA,1
"873","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Chloromonas radiata",616,83,50
"874","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Chlorosarcina brevispinosa",16,NA,NA
"875","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Chromochloris zofingiensis",1,NA,2
"876","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Codium arabicum",1,NA,NA
"877","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Costaria costata",1,NA,NA
"878","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Cryptomeria japonica (Japanese cedar)",1,NA,NA
"879","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Cupressus gigantea",NA,NA,1
"880","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Curcuma longa",2,NA,NA
"881","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Cylindrocystis brebissonii",7,NA,14
"882","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Cymbidium faberi",1,NA,NA
"883","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Delphineis sp. CCMP1095",2,NA,NA
"884","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Desmarestia viridis",1,NA,NA
"885","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Dipteris conjugata",1,NA,NA
"886","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Dryopteris fragrans",1,NA,NA
"887","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Edaphochlorella mirabilis",451,8,2
"888","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Elaeodendron orientale",1,NA,NA
"889","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Elliptochloris bilobata",15,NA,NA
"890","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Eosphagnum rigescens",34,NA,NA
"891","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Equisetum hyemale",28,16,2
"892","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Erodium gruinum",2,NA,NA
"893","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Fusochloris perforata",116,NA,12
"894","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Gloeotilopsis sterilis",13,NA,NA
"895","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Golenkinia longispicula",NA,NA,4
"896","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Hymenasplenium unilaterale",1,NA,NA
"897","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Hypolytrum nemorum",1,NA,NA
"898","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Isoetes flaccida",1,NA,NA
"899","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Juniperus virginiana",1,NA,1
"900","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Kirchneriella aperta",7,NA,NA
"901","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Koliella longiseta",4679,11,40
"902","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Liagora harveyana",2,NA,NA
"903","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Lobochlamys culleus",9,NA,NA
"904","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Lobochlamys segnis",57,NA,3
"905","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Lupinus angustifolius (narrow-leaved blue lupine)",26,NA,NA
"906","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Mesostigma viride",9,NA,NA
"907","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Mesotaenium caldariorum",23,NA,NA
"908","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Mesotaenium endlicherianum",15,NA,NA
"909","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;metagenome",1932,7,7
"910","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Microthamnion kuetzingianum",69,NA,118
"911","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Monoraphidium neglectum",1,NA,NA
"912","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Monotropsis odorata",171,NA,NA
"913","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Myrmecia israeliensis",7,NA,NA
"914","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Neglectella solitaria",15,NA,NA
"915","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Neocystis brevis",38,NA,NA
"916","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Netrium digitus",22,NA,NA
"917","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Nicotiana otophora",1,NA,NA
"918","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Nyholmiella obtusifolia",49,NA,NA
"919","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Oogamochlamys gigantea",163,NA,2
"920","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Oophila amblystomatis",NA,NA,8
"921","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Parachlorella kessleri",1,2,NA
"922","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Pedinophyceae sp. YPF-701",1,NA,NA
"923","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Phacotus lenticularis",1,NA,NA
"924","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Plagiogyria stenoptera",2,NA,NA
"925","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Porphyra umbilicalis (laver)",1,NA,NA
"926","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Pseudochlorella pringsheimii",44,NA,NA
"927","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Pseudochlorella signiensis",1500,219,16
"928","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Ptilidium pulcherrimum",25,NA,NA
"929","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Pyramimonas parkeae",12,NA,NA
"930","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Pyropia yezoensis",1,NA,NA
"931","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Radula complanata",1,NA,NA
"932","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Roya obtusa",423,NA,2
"933","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Sanionia uncinata",18,NA,NA
"934","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Selaginella uliginosa",11,NA,NA
"935","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Spirogyra maxima",25,NA,NA
"936","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Spirogyra pratensis",9,NA,NA
"937","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Staurastrum punctulatum",41,NA,NA
"938","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Synura sphagnicola",NA,4,NA
"939","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Tmesipteris elongata",14,NA,NA
"940","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Trebouxiophyceae sp. MX-AZ01",13,NA,NA
"941","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Trebouxiophyceae sp. UMPCCC 1303",97,NA,NA
"942","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;uncultured alga",1,NA,NA
"943","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;uncultured bacterium",38059,1507,341
"944","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;uncultured Chlorophyta",28,NA,NA
"945","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;uncultured cyanobacterium",286,NA,11
"946","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;uncultured Cyanobacterium sp.",20,NA,NA
"947","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;uncultured diatom",2,NA,NA
"948","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;uncultured Dunaliella sp.",13,NA,NA
"949","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;uncultured eukaryote",186,45,8
"950","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;uncultured marine eukaryote",NA,NA,2
"951","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;uncultured organism",14,NA,NA
"952","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;uncultured phototrophic eukaryote",26107,1656,199
"953","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;uncultured prokaryote",4147,4,12
"954","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Vaucheria litorea",13,NA,NA
"955","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;wastewater metagenome",2,NA,NA
"956","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Watanabea reniformis",1,NA,NA
"957","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Xerophyta viscosa",1,NA,NA
"958","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Zantedeschia aethiopica",NA,NA,2
"959","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Ziziphus jujuba",1,NA,NA
"960","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Zygnema circumcarinatum",2473,NA,NA
"961","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Chamaesiphonaceae;Chamaesiphon PCC-6605;Chamaesiphon minutus PCC 6605",NA,NA,5
"962","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Chamaesiphonaceae;Chamaesiphon PCC-6605;uncultured bacterium",13,NA,64
"963","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Chamaesiphonaceae;Chamaesiphon PCC-6605;uncultured cyanobacterium",NA,NA,73
"964","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Chroococcidiopsaceae;Chroococcidiopsis PCC 7203;uncultured bacterium",1,NA,NA
"965","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Chroococcidiopsaceae;Gloeocapsa PCC-7428;Gloeocapsa sp. PCC 7428",20,NA,NA
"966","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Chroococcidiopsaceae;Myxosarcina SAG 30.84;uncultured bacterium",7,NA,NA
"967","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Chroococcidiopsaceae;uncultured;Nematostella vectensis (starlet sea anemone)",11,NA,2
"968","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Chroococcidiopsaceae;uncultured;uncultured bacterium",140,NA,7
"969","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Coleofasciculaceae;Leptolyngbya cf. compacta EcFYyyy_10",1,NA,NA
"970","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Cyanobacteriaceae;Chroococcales cyanobacterium CYN67",10,NA,2
"971","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Cyanobacteriaceae;Symphothece PCC-7002;Synechococcus sp. NIES-970",1,NA,NA
"972","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Cyanobacteriaceae;uncultured;uncultured bacterium",14,NA,NA
"973","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Microcystaceae;Chalicogloea CCALA 975;Chroococcales cyanobacterium AKU_NQ4",NA,NA,2
"974","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Nostocaceae;Calothrix PCC-6303;Macrochaete psychrophila ANT SPH 13/96",1,NA,NA
"975","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Nostocaceae;Calothrix PCC-6303;uncultured bacterium",14,NA,NA
"976","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Nostocaceae;Chlorogloeopsis PCC-7518;uncultured bacterium",1,NA,NA
"977","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Nostocaceae;Cyanomargarita calcarea GSE-NOS12-04C",1,NA,NA
"978","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Nostocaceae;Fischerella PCC-9339;Fischerella sp. PCC 9339",7,NA,NA
"979","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Nostocaceae;Fischerella PCC-9339;Hapalosiphon sp. SJRDC1",2,NA,NA
"980","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Nostocaceae;Fortiea laiensis HA4221-MV2",1,NA,NA
"981","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Nostocaceae;Gloeotrichia SAG 32.84;Calothrix sp. CCAP 1410/13",2,NA,NA
"982","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Nostocaceae;Mastigocladopsis PCC-10914;Scytonema sp. AR8",1,NA,NA
"983","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Nostocaceae;Nostoc PCC-7107;Nostoc calcicola",2,NA,NA
"984","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Nostocaceae;Nostoc PCC-7107;Nostoc sp. SKS8",NA,NA,2
"985","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Nostocaceae;Nostoc PCC-73102;Nostoc commune AHNG0605",11,NA,NA
"986","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Nostocaceae;Nostoc PCC-73102;Nostoc sp. KVJ18",12,NA,NA
"987","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Nostocaceae;Nostoc PCC-73102;uncultured Nostoc sp.",7,NA,NA
"988","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Nostocaceae;Nostoc PCC-7524;Aliinostoc sp. Li_PS",NA,NA,2
"989","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Nostocaceae;Nostoc SAG 60.79;Nostoc punctiforme SAG 60.79",1,NA,NA
"990","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Nostocaceae;Scytonema PCC-7110;Scytonema sp. U-3-3",16,NA,NA
"991","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Nostocaceae;Scytonema UTEX 2349;Hassallia sp. UB1-KK1",NA,NA,2
"992","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Nostocaceae;Scytonema UTEX 2349;uncultured bacterium",59,NA,NA
"993","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Nostocaceae;Scytonema VB-61278;Nostocales cyanobacterium HT-58-2",17,NA,NA
"994","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Nostocaceae;Stigonema SAG 48.90;Stigonema dinghuense DHS0072",16,NA,NA
"995","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Nostocaceae;Synechococcus PCC-7902;Synechococcus sp. PCC 7902",1,NA,NA
"996","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Nostocaceae;Tolypothrix;Nostoc sp. NIES-4103",2,NA,NA
"997","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Nostocaceae;uncultured;uncultured bacterium",23,NA,131
"998","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Nostocaceae;uncultured;uncultured cyanobacterium",67,NA,14
"999","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Oscillatoriaceae;Oscillatoria PCC-6304;uncultured cyanobacterium",17,NA,NA
"1000","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Phormidiaceae;Arthrospira PCC-7345;Neolyngbya maris-brasilis ALCB 114381",16,NA,NA
"1001","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Phormidiaceae;Phormidium IAM M-71;Phormidium sp. DVL1003c",1,NA,NA
"1002","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Phormidiaceae;Trichocoleus SAG 26.92;Coleofasciculus chthonoplastes EcFYyyy500",2,NA,NA
"1003","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;uncultured;Bdelloura candida",1,NA,NA
"1004","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;uncultured;Cyanobacteria bacterium CHAB 6571",1,NA,NA
"1005","Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;uncultured;uncultured bacterium",30,NA,2
"1006","Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;Calenema;uncultured bacterium",1,NA,NA
"1007","Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;Calothrix KVSF5;uncultured bacterium",64,NA,4
"1008","Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;Chamaesiphon PCC-7430;Chamaesiphon polonicus SAG 32.87",427,7,306
"1009","Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;Chamaesiphon PCC-7430;Chamaesiphon subglobosus PCC 7430",7,NA,5
"1010","Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;Chamaesiphon PCC-7430;uncultured Antarctic bacterium LB3-47",42,NA,NA
"1011","Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;Chamaesiphon PCC-7430;uncultured Antarctic bacterium LB3-80",119,NA,6
"1012","Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;Chamaesiphon PCC-7430;uncultured bacterium",1108,9,525
"1013","Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;Chamaesiphon PCC-7430;uncultured Chamaesiphon sp.",433,8,649
"1014","Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;Geitlerinema PCC-8501;Leptolyngbya sp. O-77",1,NA,NA
"1015","Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;JSC-12;uncultured Oscillatoriales cyanobacterium",2,NA,NA
"1016","Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;Leptolyngbya ANT.L52.2;Drouetiella sp. ANT.L52.2",NA,NA,2
"1017","Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;Leptolyngbya ANT.L52.2;Leptolyngbya sp. PltLPT2",10,NA,NA
"1018","Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;Leptolyngbya ANT.L52.2;Nostoc punctiforme MACC-287",7,NA,NA
"1019","Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;Leptolyngbya ANT.L52.2;uncultured Leptolyngbya sp.",22,NA,NA
"1020","Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;Leptolyngbya Es-Yyy1000;Pseudophormidium sp. WJT25-NPBG1",16,NA,NA
"1021","Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;Leptolyngbya RV74;Leptolyngbya sp. RV74",1,NA,NA
"1022","Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;Leptolyngbya VRUC 135;uncultured cyanobacterium",1,NA,NA
"1023","Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;Oscillatoria SAG 1459-8;uncultured bacterium",2,NA,2
"1024","Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;Pantalinema;uncultured bacterium",8,NA,NA
"1025","Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;Phormidesmis ANT.L52.6;Phormidesmis priestleyi BC1401",9680,NA,NA
"1026","Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;Phormidesmis ANT.L52.6;Phormidesmis priestleyi ULC007",33,NA,NA
"1027","Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;Phormidesmis ANT.L52.6;Phormidesmis sp. LD3 4800 EK",7,NA,NA
"1028","Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;Phormidesmis ANT.L52.6;Phormidesmis sp. Us-1-3",629,NA,NA
"1029","Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;Phormidesmis ANT.L52.6;Phormidium sp. D1_2",247,NA,NA
"1030","Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;Phormidesmis ANT.L52.6;Pseudanabaenaceae cyanobacterium HTJ2-KK1",25,NA,NA
"1031","Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;Phormidesmis ANT.L52.6;uncultured Antarctic bacterium LB3-53",60,NA,NA
"1032","Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;Phormidesmis ANT.L52.6;uncultured bacterium",1355,NA,NA
"1033","Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;Phormidesmis ANT.L52.6;uncultured cyanobacterium",611,NA,NA
"1034","Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;Phormidium CYN64;uncultured bacterium",14,NA,NA
"1035","Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;uncultured bacterium",26,NA,771
"1036","Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;uncultured cyanobacterium",2,NA,NA
"1037","Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;uncultured;cyanobacterium enrichment culture clone CAWBG81",NA,NA,7
"1038","Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;uncultured;uncultured bacterium",68,NA,4
"1039","Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;uncultured;uncultured cyanobacterium",8,NA,14
"1040","Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;uncultured;uncultured Cyanobacterium sp.",7,NA,24
"1041","Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;uncultured;uncultured Oscillatoriales cyanobacterium",25,NA,660
"1042","Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;YB-42;Leptolyngbyaceae cyanobacterium CENA374",1,NA,NA
"1043","Bacteria;Cyanobacteria;Cyanobacteriia;Leptolyngbyales;Leptolyngbyaceae;YB-42;Nostoc sp. MACC-286",2,NA,NA
